terDate,opType,strike price,option price
20150320,call,15.0,11.461282001246699
20150320,call,16.0,10.464700801353789
20150320,call,18.0,8.47153864941777
20150320,call,19.0,7.4749642726694931
20150320,call,20.0,6.4784966311719181
20150320,call,21.0,5.4829452187317358
20150320,call,22.0,4.4924554541957704
20150320,call,23.0,3.5213405813841572
20150320,call,24.0,2.6023390848848038
20150320,call,25.0,1.7868116952216715
20150320,call,26.0,1.1244037468974664
20150320,call,27.0,0.63865629860344442
20150320,call,28.0,0.33042940859411701
20150320,call,29.0,0.15175046822042076
20150320,call,30.0,0.063501731314656626
20150320,call,31.0,0.02402151939562441
20150320,call,32.0,0.0081636703833747361
20150320,call,33.0,0.002507714114669486
20150320,call,35.0,0.00018172046078672249

